gamma,slope-pcot,emb-growth-c,DE-fat,HIF,max-SL,t-mating-start,t-mating-end,t-gest,t-max-age
0.665355832,0.685901958,0.09564058,0.773809746,0.195353231,0.369671901,120.5431337,283.413384,21.43907911,544.2469824
0.571555985,0.69055198,0.130754855,0.651006965,0.234475685,0.360877761,138.5987899,318.5508224,21.83282558,575.0695541
0.676544984,0.537719379,0.108052278,0.842112099,0.193291288,0.32876351,132.6172158,248.0801006,19.37278333,510.7066023
0.555351955,0.706165366,0.130520161,0.639471821,0.248790072,0.342435244,122.5898971,318.1350941,22.9106632,628.4175527
0.629528237,0.550453309,0.093417736,0.648902048,0.250026467,0.347781808,116.8110872,268.2389754,17.33552156,518.195368
0.736628228,0.587078893,0.119287888,0.877884345,0.189645896,0.45034146,106.4080604,252.8890005,19.2072258,676.2972649
0.65988278,0.607500981,0.114122497,0.75902281,0.221197381,0.447140584,126.4593284,283.6902428,16.04412899,506.4057675
0.55131351,0.679211098,0.09352232,0.627668448,0.193404099,0.439594363,100.5566702,262.6903184,21.05703067,638.3722201
0.613340669,0.535990439,0.101446383,0.697435257,0.250948414,0.453000312,108.5548509,252.3978708,17.21038452,517.4135822
0.667940332,0.504735621,0.131797377,0.789818106,0.264990224,0.33546399,133.4929398,222.6180817,16.78742212,728.221851
0.696397108,0.742565283,0.119190769,0.789037324,0.216640191,0.46026223,144.8012955,236.4414556,22.62583537,609.9812557
0.761140079,0.638800749,0.102747018,0.739806685,0.201270165,0.376331374,126.1194379,229.6593518,19.90878772,624.4200577
0.669667246,0.71961323,0.097625786,0.758448314,0.235676575,0.440112497,109.8711339,232.3027422,19.39294359,560.9858173
0.54329115,0.731666476,0.098148435,0.728408244,0.229232248,0.335161256,121.5061666,305.9325359,16.32921346,603.3974691
0.730139316,0.723081201,0.116384026,0.794793101,0.18450045,0.440913078,136.2034066,303.7935928,20.75133842,565.2752126
0.651792844,0.587756204,0.128889906,0.817519704,0.241740834,0.382009163,105.3520256,281.5148887,16.20489333,629.1469118
0.533091986,0.566767574,0.113527868,0.834486954,0.220431317,0.434933985,139.2618026,242.6568319,20.34312317,614.3069629
0.741279686,0.751746941,0.098319354,0.81362877,0.235391838,0.422224513,98.01611399,318.9506703,16.08538061,706.099979
0.696268177,0.523139734,0.11961836,0.593905448,0.25473163,0.333788653,125.2592069,231.8548081,16.99690472,701.1030306
0.726623914,0.718050117,0.106545026,0.667860167,0.210422956,0.450853841,126.8430327,246.9545092,21.40685881,704.1759443
0.742962788,0.720545112,0.109911785,0.861261712,0.221423994,0.351517262,96.91173255,290.4333754,21.35852143,672.2081324
0.693643588,0.665558694,0.129762712,0.832979488,0.248052591,0.380192171,120.4459417,250.0077403,17.22724598,610.2270847
0.580284403,0.637897218,0.104395066,0.726537765,0.265223545,0.413979479,142.6050725,253.663632,20.92472975,695.1721098
0.705843061,0.668182248,0.096430942,0.8715708,0.268272091,0.366496531,137.1411277,268.1825033,20.94024424,698.036509
0.635683863,0.514425685,0.133356627,0.715995152,0.186640665,0.326668253,140.0475498,323.3553383,19.55467154,715.5096769
0.55607326,0.67805868,0.09914914,0.807248688,0.267554781,0.328001968,144.1065762,226.440777,18.41407612,682.6934674
0.645258873,0.726792296,0.125539369,0.87612596,0.26129328,0.442065699,134.166955,311.4731072,22.74167312,704.8925891
0.613951293,0.739192469,0.094393397,0.641205938,0.221585626,0.325205012,107.253006,231.3074468,23.41890329,635.394252
0.749406904,0.752149537,0.094923306,0.764727423,0.228681692,0.458592467,97.54660365,225.8587472,21.9453916,672.9308901
0.605988555,0.562736186,0.107388088,0.794990849,0.226779974,0.359108161,111.8657497,325.3194901,18.01216053,732.500379
0.659231242,0.686186117,0.127554131,0.86645289,0.212889897,0.472048191,102.7207206,306.9561954,18.63388453,556.668524
0.618853975,0.60079603,0.120756151,0.676424912,0.188209771,0.434078293,98.07620876,304.7892441,23.68621158,607.8690475
0.525593789,0.540317253,0.122729454,0.771362893,0.253045323,0.427213079,133.97227,282.9563646,22.7355599,612.5682497
0.758648491,0.681837711,0.131634997,0.852878281,0.224302133,0.471143019,104.1816988,284.8169243,21.58399524,702.5598116
0.712185467,0.646906049,0.102280509,0.778723395,0.185182477,0.350781643,124.2945809,280.5645736,23.3158518,669.4001254
0.547724557,0.688067326,0.09127968,0.847205153,0.192094135,0.351482872,111.2185161,258.6328498,22.14845343,630.7496772
0.679246412,0.580139423,0.118227433,0.768441853,0.190048667,0.445393945,141.1562212,289.9099371,17.04070529,565.9185627
0.712336239,0.697550758,0.094871611,0.686978598,0.235268926,0.469216233,112.5243469,238.0311245,18.89965772,608.167532
0.580074524,0.536460862,0.092049976,0.860172187,0.233651252,0.365115721,144.268802,255.0070178,19.92830882,577.9512984
0.552652845,0.732940432,0.12284783,0.681976406,0.244466984,0.380992934,117.6584316,272.3937641,22.66753409,631.6061596
0.709168362,0.546963394,0.105565365,0.634538665,0.204463878,0.454140455,139.7428272,304.1333919,18.05287309,615.214273
0.63161196,0.578734127,0.103736518,0.814253524,0.249431246,0.382493399,101.3774865,270.4303132,16.56439873,640.1716819
0.606385083,0.600107761,0.113000361,0.615184057,0.246617859,0.366344751,106.5266401,265.6158516,16.96907144,735.5648316
0.604473074,0.51736468,0.115911778,0.673775241,0.195864766,0.318952839,139.9218416,228.3613195,16.76087439,623.7076909
0.643413353,0.639829534,0.11402575,0.843991411,0.244820158,0.334678877,133.7168768,319.8507595,20.64055376,555.8793897
0.598360382,0.735451919,0.124584461,0.790285759,0.254619012,0.43255108,128.6644605,232.025714,22.79467267,708.659432
0.526112416,0.745401604,0.124336408,0.608410643,0.255515719,0.405672765,120.9676418,308.9632042,23.61453755,513.5075233
0.669035492,0.537944283,0.092760614,0.642688639,0.258006821,0.371187114,117.8836872,235.7095518,20.974419,519.7804362
0.516859732,0.666401747,0.109679737,0.726983894,0.271386905,0.340457387,134.1177655,234.9620514,20.0181916,720.6492278
0.684652655,0.664179807,0.114630565,0.640128462,0.229513793,0.321790818,140.8068749,288.5136178,20.79986471,701.6620748
0.597015226,0.511687134,0.119910258,0.881095352,0.261960447,0.399355958,124.5637729,224.5712279,16.82396972,573.0918905
0.671031495,0.715055186,0.111911731,0.696485495,0.218584282,0.449315581,126.9393224,292.1968029,18.79964604,725.1106429
0.72342363,0.698840855,0.120287181,0.687718286,0.196264552,0.344136365,144.1387867,299.7817572,21.20051487,611.8792791
0.512599368,0.63123401,0.097748207,0.798398408,0.260717249,0.325585892,119.338198,314.90194,20.72608211,680.5818952
0.656771136,0.528157936,0.10474359,0.755414841,0.267179095,0.352572982,142.9067029,221.443907,23.88920093,725.3812762
0.641442255,0.588354517,0.133492017,0.606270095,0.242905001,0.334324313,128.8919122,248.2250071,21.62518753,660.5529938
0.635137257,0.596945199,0.129202674,0.621403914,0.206192823,0.455778176,125.9980019,296.8976137,21.74719183,642.1311095
0.739995341,0.663706722,0.102876354,0.850915757,0.211038089,0.423625536,99.1481127,225.4702398,17.66259946,655.7043366
0.649693274,0.589915812,0.127230602,0.626492096,0.240290595,0.45942271,106.6804452,281.1881123,17.68763815,686.6222458
0.651077016,0.673334867,0.114260249,0.709867154,0.247390007,0.347003037,98.53789685,281.8510457,23.15771999,591.3067683
0.513509086,0.538735319,0.116676878,0.752640114,0.192560857,0.463494502,118.8198052,253.1082325,23.59206726,675.8752408
0.547872632,0.575224538,0.116895071,0.630058536,0.256841614,0.335774271,114.9519507,269.7488013,19.03570393,496.3242911
0.706232618,0.545851431,0.112766948,0.823429358,0.218506024,0.422948172,105.6287813,284.181815,20.22315317,710.502191
0.572976978,0.676937629,0.124712084,0.661872733,0.236671286,0.424235556,132.9455547,297.2226549,23.11071203,513.2547977
0.578366083,0.550980046,0.099229734,0.822204542,0.272803498,0.430339216,112.3549396,279.4564543,19.70412469,499.4643873
0.61054384,0.60827688,0.092377006,0.852395399,0.237824016,0.452483494,143.3202891,269.2815303,18.57303849,718.453045
0.702894731,0.728501002,0.112491914,0.777153212,0.251724164,0.410460736,99.69905151,220.8043053,17.7596451,637.760167
0.67149791,0.751023655,0.116402038,0.748327631,0.197167521,0.384957599,120.9029746,250.6949546,23.75047293,681.1245736
0.697169457,0.618422711,0.127030523,0.850429494,0.207381464,0.451066564,137.2165957,319.9783312,19.22658276,570.8983761
0.639171288,0.634060533,0.117514998,0.700722621,0.204739701,0.398156358,122.2306127,271.9418641,16.55547413,724.5649346
0.522854706,0.684815828,0.118953887,0.62705491,0.194548965,0.465529945,105.0223068,322.1106138,17.53949658,601.1079977
0.648224135,0.507734292,0.104263299,0.616109573,0.22455293,0.414730506,131.3554912,271.8384445,16.02995781,634.9045904
0.764336341,0.507032109,0.104196157,0.792312319,0.203963292,0.398335616,141.4851663,296.0684888,19.44153851,665.7499639
0.74512263,0.669551568,0.10980939,0.799028983,0.231464123,0.415582474,143.6380009,321.3015728,17.59107246,706.4112199
0.710375849,0.677710824,0.12857865,0.848730098,0.194912397,0.460544073,122.8949552,310.5858214,16.33924978,549.6115932
0.701133682,0.506967159,0.130888634,0.711670465,0.210940118,0.337439623,141.0566732,240.9242376,21.6403177,709.3461874
0.678756403,0.681279565,0.1103393,0.616909241,0.197435747,0.439024191,135.2193544,243.5545126,20.13621204,597.7533257
0.73369415,0.513952409,0.131994579,0.75968957,0.189261967,0.429387277,143.5077682,309.6682016,18.13396534,572.2693611
0.650380628,0.741188227,0.119977277,0.725376932,0.230504881,0.345378895,97.80588341,309.3248688,22.04109435,537.5131959
0.525196474,0.651685506,0.089651978,0.683007146,0.184052266,0.32589251,98.78753968,307.741138,20.4573237,536.0156291
0.767417225,0.656123034,0.101376606,0.67810388,0.271019206,0.338753304,139.1130671,230.9558952,19.96135122,678.7893849
0.61938208,0.597365344,0.120595814,0.598134019,0.244090541,0.458271481,106.1572515,225.0343145,21.46137611,636.4798363
0.591453718,0.743521412,0.109400548,0.593054058,0.198893898,0.453964693,107.6035493,240.6488284,23.66527776,693.6558818
0.675029413,0.528774682,0.095993955,0.666953046,0.215228581,0.406523829,122.6516244,311.227849,18.12376886,661.4616584
0.663491849,0.556905141,0.121866762,0.873436101,0.211474596,0.31841172,98.97856643,241.4559041,17.5723399,586.9618284
0.626519419,0.708806706,0.095790701,0.710933863,0.196037963,0.404501304,102.9791768,254.3822519,19.43723301,726.4155815
0.530639702,0.551654401,0.126831879,0.756656335,0.182545103,0.370587549,103.4199962,286.5366151,19.14246094,714.2808123
0.758028961,0.684171621,0.116515405,0.624050698,0.213674353,0.419940457,119.2376452,325.6921218,23.88490629,617.1614046
0.607840469,0.636533942,0.127484262,0.814645423,0.24346413,0.360436589,127.9245241,310.2291035,18.84676199,558.4234527
0.732790013,0.620426397,0.118451022,0.702009436,0.219844916,0.375959937,116.0060368,263.574849,22.86036815,605.2230738
0.595318273,0.740311227,0.117315484,0.782056687,0.261189582,0.368232949,137.3119101,237.7696474,22.45970828,674.3042023
0.711058323,0.674238127,0.121260756,0.796947988,0.23277813,0.368633688,138.1525659,240.3188712,23.42920504,541.2148035
0.725689803,0.610228553,0.130311566,0.78823313,0.187533625,0.476041277,130.9874743,301.7300771,23.36979579,721.0202582
0.575817851,0.634754969,0.107926645,0.593843773,0.200880665,0.38833649,136.6889142,233.7434911,21.32985379,541.0922883
0.647222452,0.511107423,0.1340152,0.835147977,0.214617115,0.391967388,137.516094,294.4322896,19.13167066,551.0117184
0.755872381,0.536857865,0.112174482,0.694964948,0.269259928,0.434301595,134.712192,311.8743668,22.60902737,575.7987366
0.515591003,0.731240235,0.099593148,0.854268971,0.240207809,0.44910482,138.6846672,315.8288995,17.80140802,586.4988991
0.75912182,0.518081856,0.134045746,0.781317614,0.246301287,0.425266294,115.2174092,303.4263008,16.88518234,712.9059542
0.674000262,0.530341473,0.124196546,0.608950604,0.22234655,0.362152763,103.2455434,323.4644762,17.2659758,547.4763439
0.535030005,0.535063469,0.101598082,0.672195285,0.247601098,0.381760521,119.4606337,296.3100487,17.72374293,701.8743071
0.655439148,0.70353459,0.114735256,0.659433461,0.208677896,0.398848705,124.6087951,323.7313342,17.52694972,534.2701077
0.631144968,0.712845642,0.126356193,0.64691007,0.23017967,0.400821015,117.2322799,305.6723137,18.74514105,506.4827653
0.529213994,0.567659891,0.101871054,0.60079333,0.259476641,0.455059211,102.282511,282.5511664,21.4760591,722.2852759
0.583020352,0.673377625,0.125695798,0.811654209,0.251298395,0.474050596,101.1967011,281.6235769,18.28631384,562.584644
0.730033544,0.561525152,0.111880249,0.616389072,0.203719704,0.404179956,140.5574147,243.5060865,18.87685597,530.573177
0.684494917,0.538947598,0.111135666,0.839225461,0.272114463,0.443338404,99.82816411,249.6428996,21.8095626,553.8246155
0.5381535,0.601293632,0.092549021,0.833966482,0.224891116,0.415020893,142.021163,232.6296618,19.319869,622.1895323
0.652486851,0.720968658,0.110446526,0.749673783,0.267280048,0.426484361,107.3170337,219.6241465,20.04413661,531.2788929
0.600035359,0.603428244,0.113817843,0.76623021,0.253906802,0.387781955,129.6602496,292.7551654,19.68240501,598.9697431
0.603067192,0.631592471,0.099874819,0.669601023,0.206437674,0.441535883,113.6430877,326.1340147,18.92427041,698.9813049
0.570064844,0.518577115,0.110292169,0.628822242,0.262377145,0.373149388,112.9203989,233.5738075,22.96186554,730.577497
0.558107235,0.59600749,0.102113807,0.638139449,0.245893796,0.411154855,141.8185964,257.9035061,22.2178228,559.4805366
0.67250333,0.745737013,0.090118329,0.757654662,0.215316675,0.423908762,103.3617011,270.1681716,19.9415566,689.1159506
0.58465016,0.650811213,0.107833048,0.707322255,0.270030811,0.336977543,103.6007655,260.3258441,17.19845194,625.3054126
0.602047957,0.606013467,0.133165645,0.804628674,0.272628686,0.388770879,102.3908324,233.9578846,18.39982222,742.1299294
0.616259033,0.703877618,0.126320834,0.646123412,0.190106653,0.424903177,121.1075616,294.1754812,22.70807757,567.6082914
0.6807387,0.71331525,0.104539945,0.789301011,0.224525655,0.369542918,130.4628596,221.5426804,19.86660276,499.9160671
0.589507044,0.696626919,0.12084028,0.865479497,0.225536744,0.372043294,129.4677332,274.9391397,18.07142761,669.792738
0.703070952,0.604017265,0.11663081,0.75154728,0.259884378,0.320448704,101.3204305,266.436141,16.62429559,743.6281375
0.550122279,0.72393434,0.12816043,0.79428036,0.220531716,0.429618517,100.6384138,314.1614535,16.61769774,518.8922762
0.606992538,0.630216178,0.091601755,0.878924093,0.207842646,0.328520401,128.3437449,297.4140467,20.11206079,681.6839561
0.591301541,0.670493221,0.093169751,0.775862976,0.205193392,0.371462318,113.4868621,285.6519989,23.9229125,632.4527189
0.604767018,0.610499459,0.134178929,0.824152417,0.234726,0.407993262,141.5524372,226.0769332,23.9396548,679.9930669
0.559607113,0.754119909,0.115796865,0.785144736,0.236941668,0.364560603,111.5919111,263.7923975,18.88409814,696.0468524
