year,day,AWI-CM-1-1-MR,CNRM-CM6-1-HR,EC-Earth3-CC
1,91,0.2827962962962963,0.2827962962962963,0.2827962962962963
1,92,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,93,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,94,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,95,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,96,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,97,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,98,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,99,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,100,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,101,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,102,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,103,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,104,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,105,0.03500238399318861,0.03500238399318861,0.03500238399318861
1,106,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,107,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,108,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,109,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,110,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,111,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,112,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,113,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,114,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,115,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,116,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,117,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,118,0.03500238399318856,0.03500238399318856,0.03500238399318856
1,119,0.03500238399318867,0.03500238399318867,0.03500238399318867
1,121,0.035002383993188446,0.035002383993188446,0.035002383993188446
1,122,0.003803004115226327,0.003803004115226327,0.003803004115226327
1,123,0.003803004115226327,0.003803004115226327,0.003803004115226327
1,124,0.0038030041152263827,0.0038030041152263827,0.0038030041152263827
